event_time,coef,se,p,ci95_low,ci95_high
-24,23.46652970381718,3.90769406336453,1.9108253861637957e-09,15.807449339622702,31.12561006801166
-23,22.438281116247225,2.9501752959414125,2.8326724639957358e-14,16.655937536202057,28.220624696292393
-22,18.570484506077968,2.3222416961578096,1.2770238925670968e-15,14.018890781608661,23.122078230547274
-21,24.568224619072275,3.587041627142432,7.428450244644281e-12,17.53762302987311,31.59882620827144
-20,8.75918507105029,2.74191044402768,0.001400463579676761,3.385040600756037,14.133329541344542
-19,3.1399760315016,1.8349343216187202,0.08704053597008742,-0.45649523887109167,6.736447301874291
-18,2.107207669919793,2.326532086340644,0.3650792885376205,-2.4527952193078693,6.667210559147454
-17,-1.7504194487243987,2.2753289268018766,0.44171291432094084,-6.2100641452560765,2.7092252478072787
-16,12.747885636021092,2.836739932682638,6.994668832824229e-06,7.187875367963121,18.30789590407906
-15,13.06652970381791,2.2721061617444245,8.879865049853096e-09,8.613201626798837,17.519857780836983
-14,27.62698168121903,3.455015487039251,1.283218543066144e-15,20.855151326622096,34.39881203581596
-13,32.90607772641671,3.673358916243908,3.3051560086246235e-19,25.70629425057865,40.10586120225477
-12,33.75805512754662,3.3924385310039447,2.49736181975505e-23,27.108875606778888,40.40723464831435
-11,29.248450607772508,3.7623864968252234,7.610036114044338e-15,21.87417307399507,36.62272814154994
-10,20.268789590823406,2.735944476243832,1.2789618415992399e-13,14.906338417385495,25.631240764261317
-9,13.825851737716139,2.290952913510971,1.5898378470496685e-09,9.335584027234635,18.316119448197643
-8,1.9659647320665774,1.813182070521652,0.27824857201940156,-1.5878721261558602,5.519801590289015
-7,-4.599007019346065,1.5705232489974703,0.0034079045660045364,-7.6772325873811065,-1.5207814513110227
-6,10.360315014552558,2.347861117401162,1.0210784530825934e-05,5.758507224446281,14.962122804658836
-5,5.969354562574948,2.001293860014083,0.0028567342548364355,2.046818596947345,9.89189052820255
-4,11.377264167094634,2.4607996158546284,3.774983847766986e-06,6.554096920019562,16.200431414169707
-3,19.802122924156862,2.940052276117325,1.6359632043807298e-11,14.039620462966905,25.56462538534682
-2,22.937716144495756,3.131527672057667,2.393109553222539e-13,16.79992190726273,29.075510381728783
0,29.764834788563633,3.8055715734762527,5.224590186028951e-15,22.305914504550177,37.22375507257709
1,33.52867659647377,4.661946795800146,6.385352147008278e-13,24.391260876705488,42.66609231624206
2,25.22698168121811,3.8335398547277015,4.685623546690905e-11,17.713243565951814,32.740719796484406
3,15.570484506077747,3.3260792810984374,2.8501560803703907e-06,9.05136911512481,22.089599897030684
4,3.9411059750042883,2.6627116552595544,0.13884391063161394,-1.2778088693044385,9.160020819313015
5,1.9218969354565378,3.3221026456206086,0.562914294609683,-4.589424249959855,8.433218120872931
6,7.410032528676658,3.0481491104126213,0.015057459406919209,1.4356602722679206,13.384404785085396
7,7.35918507104954,2.731755057669632,0.007061280886903762,2.004945158017061,12.713424984082017
8,7.984043828111751,2.3067325209562193,0.000537789386743071,3.4628480870375613,12.505239569185942
9,17.612292415682703,4.573101880713414,0.0001175024157598674,8.649012729484411,26.575572101880994
10,29.91737716144518,4.404555448837379,1.1030500891754293e-11,21.28444848172392,38.55030584116644
11,25.40890258517397,3.7754383357375487,1.69600530425295e-11,18.009043447128374,32.80876172321956
12,30.03715117274447,4.247150752186468,1.5237956670583778e-12,21.712735698458992,38.361566647029946
13,26.492518404382974,4.1314663702300924,1.4326835391838964e-10,18.39484431873199,34.59019249003396
14,23.515117274439355,2.946737287393955,1.4627145798918123e-15,17.739512191147202,29.290722357731507
15,13.073309364834833,2.9554687139005926,9.71460576673648e-06,7.280590685589671,18.866028044079993
16,-0.2532443074816053,2.5824136110634908,0.9218807050931702,-5.314774985166047,4.808286370202837
17,-9.35493922273576,2.605967387304678,0.00033091350673930406,-14.462635301852929,-4.247243143618592
18,-4.100701934600126,2.650349235449038,0.12180760451004537,-9.29538643608024,1.0939825668799878
